Country,Freedom in the World 2022,2022 Index of Economic Freedom,2022 Press Freedom Index,2021 Democracy Index
 Somalia,not free,n/a,difficult situation,n/a
 South Africa,free,mostly unfree,satisfactory situation,flawed democracy
 South Sudan,not free,n/a,difficult situation,n/a
 Spain,free,moderately free,satisfactory situation,flawed democracy
 Sri Lanka,partly free,mostly unfree,difficult situation,flawed democracy
 Sudan,not free,repressed,difficult situation,authoritarian regime
 Suriname,free,repressed,noticeable problems,flawed democracy
 Sweden,free,mostly free,good situation,full democracy
  Switzerland,free,free,satisfactory situation,full democracy
 Syria,not free,n/a,very serious situation,authoritarian regime
 Taiwan,free,free,satisfactory situation,full democracy
 Tajikistan,not free,repressed,difficult situation,authoritarian regime
 Tanzania,partly free,mostly unfree,difficult situation,hybrid regime
 Thailand,not free,moderately free,difficult situation,flawed democracy
 Togo,partly free,mostly unfree,noticeable problems,authoritarian regime
 Tonga,free,moderately free,noticeable problems,n/a
 Trinidad and Tobago,free,mostly unfree,satisfactory situation,flawed democracy
 Tunisia,partly free,mostly unfree,noticeable problems,hybrid regime
 Turkey,not free,mostly unfree,difficult situation,hybrid regime
 Turkmenistan,not free,repressed,very serious situation,authoritarian regime
 Tuvalu,free,n/a,n/a,n/a
 Uganda,not free,mostly unfree,difficult situation,hybrid regime
 Ukraine,partly free,mostly unfree,noticeable problems,hybrid regime
 United Arab Emirates,not free,mostly free,difficult situation,authoritarian regime
 United Kingdom,free,mostly free,satisfactory situation,full democracy
 United States,free,mostly free,satisfactory situation,flawed democracy
 Uruguay,free,mostly free,satisfactory situation,full democracy
 Uzbekistan,not free,mostly unfree,difficult situation,authoritarian regime
 Vanuatu,free,moderately free,n/a,n/a
 Venezuela,not free,repressed,very serious situation,authoritarian regime
 Vietnam,not free,moderately free,very serious situation,authoritarian regime
 Yemen,not free,n/a,very serious situation,authoritarian regime
 Zambia,partly free,repressed,noticeable problems,hybrid regime
 Zimbabwe,not free,repressed,difficult situation,authoritarian regime
