name,slug,value,date_of_information,ranking,region
"Bulgaria","bulgaria","1.60","2021 est.","83","Europe"
"Honduras","honduras","1.60","2021 est.","84","Central America and the Caribbean"
"Montenegro","montenegro","1.60","2021 est.","85","Europe"
"Portugal","portugal","1.60","2021 est.","86","Europe"
"China","china","1.50","2021 est.","88","East and Southeast Asia"
"Equatorial Guinea","equatorial-guinea","1.50","2019 est.","89","Africa"
"Fiji","fiji","1.50","2021 est.","90","Australia and Oceania"
"Germany","germany","1.50","2021 est.","91","Europe"
"Guinea","guinea","1.50","2021 est.","92","Africa"
"Italy","italy","1.50","2021 est.","93","Europe"
"Lesotho","lesotho","1.50","2021 est.","94","Africa"
"Netherlands","netherlands","1.50","2021 est.","95","Europe"
"North Macedonia","north-macedonia","1.50","2021 est.","96","Europe"
"Seychelles","seychelles","1.50","2021 est.","97","Africa"
"Albania","albania","1.40","2021 est.","98","Europe"
"Angola","angola","1.40","2021 est.","99","Africa"
"Bolivia","bolivia","1.40","2021 est.","100","South America"
"Canada","canada","1.40","2021 est.","101","North America"
"Czechia","czechia","1.40","2021 est.","102","Europe"
"Denmark","denmark","1.40","2021 est.","103","Europe"
"Jamaica","jamaica","1.40","2021 est.","104","Central America and the Caribbean"
"Panama","panama","1.40","2021 est.","105","Central America and the Caribbean"
"Rwanda","rwanda","1.40","2021 est.","106","Africa"
"Belize","belize","1.30","2021 est.","107","Central America and the Caribbean"
"Brazil","brazil","1.30","2021 est.","108","South America"
"Egypt","egypt","1.30","2021 est.","109","Africa"
"Nepal","nepal","1.30","2021 est.","110","South Asia"
"New Zealand","new-zealand","1.30","2021 est.","111","Australia and Oceania"
"Sweden","sweden","1.30","2021 est.","112","Europe"
"Thailand","thailand","1.30","2021 est.","113","East and Southeast Asia"
"Zambia","zambia","1.30","2021 est.","114","Africa"
"Bangladesh","bangladesh","1.20","2021 est.","115","South Asia"
"Belarus","belarus","1.20","2021 est.","116","Europe"
"El Salvador","el-salvador","1.20","2021 est.","117","Central America and the Caribbean"
"Kenya","kenya","1.20","2021 est.","118","Africa"
"Mozambique","mozambique","1.20","2021 est.","119","Africa"
"Slovenia","slovenia","1.20","2021 est.","120","Europe"
"Suriname","suriname","1.20","2019 est.","121","South America"
"Belgium","belgium","1.10","2021 est.","122","Europe"
"Cote d'Ivoire","cote-divoire","1.10","2021 est.","123","Africa"
"Peru","peru","1.10","2021 est.","124","South America"
"Philippines","philippines","1.10","2021 est.","125","East and Southeast Asia"
"Tanzania","tanzania","1.10","2021 est.","126","Africa"
"Cameroon","cameroon","1.00","2021 est.","127","Africa"
"Guyana","guyana","1.00","2021 est.","128","South America"
"Japan","japan","1.00","2021 est.","129","East and Southeast Asia"
"Kazakhstan","kazakhstan","1.00","2021 est.","130","Central Asia"
"Malaysia","malaysia","1.00","2021 est.","131","East and Southeast Asia"
"Paraguay","paraguay","1.00","2021 est.","132","South America"
"Spain","spain","1.00","2021 est.","133","Europe"
"Trinidad and Tobago","trinidad-and-tobago","1.00","2020 est.","134","Central America and the Caribbean"
"Austria","austria","0.90","2021 est.","135","Europe"
"Bahamas, The","bahamas-the","0.90","2021 est.","136","Central America and the Caribbean"
"Barbados","barbados","0.90","2021 est.","137","Central America and the Caribbean"
"Bosnia and Herzegovina","bosnia-and-herzegovina","0.90","2021 est.","138","Europe"
"Kosovo","kosovo","0.90","2021 est.","139","Europe"
"Malawi","malawi","0.90","2021 est.","140","Africa"
"Argentina","argentina","0.80","2021 est.","141","South America"
"Gambia, The","gambia-the","0.80","2021 est.","142","Africa"
"Indonesia","indonesia","0.80","2021 est.","143","East and Southeast Asia"
"Mexico","mexico","0.80","2022 est.","144","North America"
"Mongolia","mongolia","0.80","2021 est.","145","East and Southeast Asia"
"South Africa","south-africa","0.80","2021 est.","146","Africa"
"Benin","benin","0.70","2021 est.","147","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0.70","2020 est.","148","Africa"
"Costa Rica","costa-rica","0.70","2021 est.","149","Central America and the Caribbean"
"Dominican Republic","dominican-republic","0.70","2021 est.","150","Central America and the Caribbean"
"Liberia","liberia","0.70","2021 est.","151","Africa"
"Madagascar","madagascar","0.70","2021 est.","152","Africa"
"Nigeria","nigeria","0.70","2021 est.","153","Africa"
"Switzerland","switzerland","0.70","2021 est.","154","Europe"
"Nicaragua","nicaragua","0.60","2021 est.","155","Central America and the Caribbean"
"Cabo Verde","cabo-verde","0.50","2021 est.","156","Africa"
"Ethiopia","ethiopia","0.50","2021 est.","157","Africa"
"Ghana","ghana","0.50","2021 est.","158","Africa"
"Luxembourg","luxembourg","0.50","2021 est.","159","Europe"
"Malta","malta","0.50","2021 est.","160","Europe"
"Guatemala","guatemala","0.40","2021 est.","161","Central America and the Caribbean"
"Moldova","moldova","0.40","2021 est.","162","Europe"
"Papua New Guinea","papua-new-guinea","0.40","2021 est.","163","East and Southeast Asia"
"Ireland","ireland","0.30","2021","164","Europe"
"Sierra Leone","sierra-leone","0.30","2021 est.","165","Africa"
"Laos","laos","0.20","2019 est.","166","East and Southeast Asia"
"Mauritius","mauritius","0.20","2021 est.","167","Africa"
